Player,Mat,Runs,Wkts,Type
A Kumble,271,938,334,Bowler
J Srinath,229,883,315,Bowler
Z Khan,200,792,269,Bowler
Harbhajan Singh,,1237,265,Bowler
N Kapil Dev,225,3783,253,All Rounder
IK Pathan,120,1544,173,All Rounder
RA Jadeja,147,1990,171,All Rounder
SR Tendulkar,463,18426,,Batsman
R Ashwin,111,675,150,Bowler
B Kumar,103,476,114,Bowler
Yuvraj Singh,304,8701,110,All Rounder
SC Ganguly,308,11363,100,Batsman
V Sehwag,251,8273,94,Batsman
HH Pandya,45,731,44,All Rounder
SK Raina,226,5615,36,Batsman
R sharma,201,7808,8,Batsman
V Khohli ,222,10533,4,Batsman
B Kumar,103,476,114,Bowler
